## Europe Major
GER = "countries/Germany.txt"
ENG = "countries/United Kingdom.txt"
SOV = "countries/Soviet Union.txt"
SWE = "countries/Sweden.txt"
FRA = "countries/France.txt"
CZE = "countries/Czechoslovakia.txt"
POL = "countries/Poland.txt"
ITA = "countries/Italy.txt"
ROM = "countries/Romania.txt"
HUN = "countries/Hungary.txt"
UKR = "countries/Ukraine.txt"
RUS = "countries/Russia.txt"
## Europe
EST = "countries/Estonia.txt"
LIT = "countries/Lithuania.txt"
YUG = "countries/Yugoslavia.txt"
SER = "countries/Serbia.txt"
GRE = "countries/Greece.txt"
ALB = "countries/Albania.txt"
NOR = "countries/Norway.txt"
DEN = "countries/Denmark.txt"
BUL = "countries/Bulgaria.txt"
POR = "countries/Portugal.txt"
FIN = "countries/Finland.txt"
SWI = "countries/Switzerland.txt"
AUS = "countries/Austria.txt"
SPR = "countries/Spain.txt"
HOL = "countries/Holland.txt"
LUX = "countries/Luxemburg.txt"
BEL = "countries/Belgium.txt"
SLO = "countries/Slovakia.txt"
MLT = "countries/Malta.txt"
CAT = "countries/Catalonia.txt"
NAV = "countries/Navarra.txt"
BTY = "countries/Brittany.txt"
BLR = "countries/Belarus.txt"
BAT = "countries/Baltic Germany.txt"
CRO = "countries/Croatia.txt"
SLV = "countries/Slovenia.txt"
MAC = "countries/Macedonia.txt"
ORL = "countries/Orlean.txt"
MNT = "countries/Montenegro.txt"
MOL = "countries/Moldova.txt"
## Germany
PRE = "countries/Prussia.txt"
RHI = "countries/Rhineland.txt"
BAY = "countries/Bavaria.txt"
MEK = "countries/Mecklenburg.txt"
SAX = "countries/Saxony.txt"
HAN = "countries/Hanover.txt"
WUR = "countries/Wurtemberg.txt"
HES = "countries/Hessen.txt"
## England
IRE = "countries/Ireland.txt"
SCO = "countries/Scotland.txt"
WLS = "countries/Wales.txt"
## West Asia Major
IRQ = "countries/Iraq.txt"
## West Asia
TUR = "countries/Turkey.txt"
AFG = "countries/Afghanistan.txt"
CAN = "countries/Canada.txt"
CHI = "countries/China.txt"
COL = "countries/Colombia.txt"
PER = "countries/Persia.txt"
SAU = "countries/Saudi Arabia.txt"
YEM = "countries/Yeman.txt"
OMA = "countries/Oman.txt"
LEB = "countries/Lebanon.txt"
SYR = "countries/Syria.txt"
ISR = "countries/Israel.txt"
AZR = "countries/Azerbaijan.txt"
ARM = "countries/Armenia.txt"
GEO = "countries/Georgia.txt"
KUR = "countries/Kurdistan.txt"
## South America
PUE = "countries/Puerto Rico.txt"
MEX = "countries/Mexico.txt"
PAN = "countries/Panama.txt"
PRU = "countries/Peru.txt"
BRA = "countries/Brazil.txt"
ARG = "countries/Argentina.txt"
PAR = "countries/Paraguay.txt"
CUB = "countries/Cuba.txt"
DOM = "countries/Dominican Republic.txt"
HAI = "countries/Haiti.txt"
## Pacifican
NZL = "countries/New Zealand.txt"
PHI = "countries/Philippines.txt"
AST = "countries/Australia.txt"
INS = "countries/Indonesia.txt"
PNG = "countries/Papua New Guinea.txt"
SSI = "countries/South Sea Islands"
HAW = "countries/Hawaii"
## African
ERI = "countries/Eritrea.txt"
LIB = "countries/Liberia.txt"
ETH = "countries/Ethiopia.txt"
ALG = "countries/Algeria.txt"
MOR = "countries/Morocco.txt"
TUN = "countries/Tunisia.txt"
SUD = "countries/Sudan.txt"
SOM = "countries/Somalia.txt"
UGA = "countries/Uganda.txt"
TZN = "countries/Tanzania.txt"
ZAM = "countries/Zambia.txt"
MLW = "countries/Malawi.txt"
GAB = "countries/Gabon.txt"
RCG = "countries/Republic of Congo.txt"
EQG = "countries/Equatorial Guinea.txt"
CMR = "countries/Cameroon.txt"
CAR = "countries/Central African Republic.txt"
CHA = "countries/Chad.txt"
NGA = "countries/Nigeria.txt"
DAH = "countries/Dahomey.txt"
TOG = "countries/Togo.txt"
GHA = "countries/Ghana.txt"
IVO = "countries/Ivory Coast.txt"
VOL = "countries/Upper Volta.txt"
MLI = "countries/Mali.txt"
SIE = "countries/Sierra Leone.txt"
GNA = "countries/Guinea.txt"
GNB = "countries/Guinea-Bissau.txt"
SEN = "countries/Senegal.txt"
GAM = "countries/Gambia.txt"
ANG = "countries/Angola.txt"
MZB = "countries/Mozambique.txt"
ZIM = "countries/Zimbabwe.txt"
COG = "countries/Congo.txt"
NGR = "countries/Niger.txt"
MRT = "countries/Mauritania.txt"
NMB = "countries/Namibia.txt"
LBA = "countries/Libya.txt"
## East Asia
JAP = "countries/Japan.txt"
KOR = "countries/Korea.txt"
YUN = "countries/Yunnan.txt"
GXC = "countries/Guangxi.txt"
XSM = "countries/Xibei San Ma.txt"
SDC = "countries/Shandong.txt"
QDA = "countries/Qingdao.txt"
BEY = "countries/Beiyang.txt"
GDC = "countries/Guangdong.txt"
## Centeral Asia
SIK = "countries/Sinkiang.txt"
TIB = "countries/Tibet.txt"
KAZ = "countries/Kazakhstan.txt"
TMS = "countries/Turkmenistan.txt"
