ENG_fulcrum_of_europe: "Fulcrum Of Europe"
ENG_aegean_strategy: "Aegean Strategy"
ENG_romania_strategy: "Romania Strategy"
ENG_hungary_strategy: "Hungary Strategy"
ENG_attach_turkey: "Attach Turkey"
ENG_baltic_focus: "Baltic Focus"
ENG_support_white_army: "Support White Army"
ENG_restore_russian_relations: "Restore Russian Relations"
ENG_russian_intervention: "Russian Intervention"
ENG_offshore_equilibrium: "Offshore Equilibrium"
ENG_reaffirmation_entente: "Reaffirmation Entente"
ENG_support_france: "Support France"
ENG_support_czechs: "Support Czechs"
ENG_befriend_poland_focus: "Befriend Poland Focus"
ENG_befriend_livonia: "Befriend Livonia"
ENG_polish_resistance_focus: "Polish Resistance Focus"
ENG_crypto_bomb_focus: "Crypto Bomb Focus"
ENG_befriend_israel: "Befriend Israel"
ENG_mission_to_usa: "Mission To Usa"
ENG_convey_cross_the_sea: "Convey Cross The Sea"
ENG_lend_lease_act: "Lend Lease Act"
ENG_joint_allies_staff: "Joint Allies Staff"
ENG_royal_naval_insititute_focus: "Royal Naval Insititute Focus"
ENG_rising_sun_never_set_focus: "Rising Sun Never Set Focus"
