
#POR

#SPR

#BEL

#BUL_Characters

#SWI

#CHI

#JAP
 JAP_Ciel:0 Ciel
 JAP_minamoto_no_yoshitsune:0 ushiwakamaru
 :0 

#AST

#AUS

#BAT

#BEY

#BRA

#CAN

#CZE

#ENG

#EST

#FIC

#FIN

#FRA
 FRA_gilles_de_rais:0 Gilles
 FRA_charlemagne:0 charlemagne
 FRA_napoleon_bonaparte:0 Napoleon
 FRA_Pauline_Bonaparte:0 Pauline
 FRA_bradamante:0 Beadamante
 FRA_astolfo:0 astolfo
 FRA_edmond_dantes:0 Edmond

#GER

#GRE

#HOL
 LUX_marie_muller:0 "Marie Muller"
 LUX_joseph_frison:0 "Joseph Frison"
 LUX_léon_jottrand:0 "Léon Jottrand"
 LUX_jeanlouis_lebeau:0 "Jean-Louis Lebeau"

#HUN

#IRE
 IRE_eoin_oduffy:0 "Eoin O'Duffy"
 IRE_james_larkin:0 "James Larkin"
 IRE_bazett_fraga_mcremitzpsd:0 "Bazett Fraga McRemitzpsd"
 IRE_fionn_mac_cumhaill:0 "Fionn mac Cumhaill"
 IRE_cú_chulainn:0 "Cú Chulainn"
 IRE_diarmuid_ua_duihne:0 "Diarmuid Ua Duihne"

#IRQ
 IRQ_ghazi_i:0 "Ghazi I"
 IRQ_rashid_ali_algaylani:0 "Rashid Ali al-Gaylani"
 IRQ_yusuf_salman_yusuf:0 "Yusuf Salman Yusuf"
 IRQ_abd_almalik_ibn_hisham:0 "Abd al-Malik ibn Hisham"
 IRQ_faisal_ii:0 "Faisal II"
 IRQ_taha_al_ahmani:0 "Taha al Ahmani"
 IRQ_fahmi_said:0 "Fahmi Sa'id"
 IRQ_ali_mahmud_al_shaykh:0 "Ali Mahmud al Shaykh"
 IRQ_iskandar_al-shami:0 "Iskandar al-Shami"
 IRQ_abdullah_al-tell:0 "Abdullah al-Tell"
 IRQ_mustafa_al_quidsi:0 "Mustafa al-Qudsi"
 IRQ_hamdi_al_pachachi:0 "Hamdi al Pachachi"
 IRQ_fawsi_al_kaukji:0 "Fawsi al Kaukji"
 IRQ_khaled_al_dalabeeh:0 "Khaled al Dalabeeh"
 IRQ_jamil_al_midfai:0 "Jamil al Midfai"
 IRQ_ali_ben_jawad:0 "Ali ben Jawad"
 IRQ_bakr_sidqi:0 "Bakr Sidqi"
 IRQ_amir_al_illah:0 "Amir al Illah"
 IRQ_ali_abn_hussein:0 "Ali Abn Hussein"
 IRQ_nuri_as_said:0 "Nuri as Said"

#ISR

#ITA
 ITA_romulus:0 romulus

#MAN

#MEX

#PHI_Fate_characters
 PHI_manuel_luis_quezón:0 "Manuel Luis Quezón"
 PHI_pedro_p_baguisa:0 "Pedro P. Baguisa"
 PHI_deodato_jacinto:0 "Deodato Jacinto"
 PHI_hermano_jacinto:0 "Hermano Jacinto"
 PHI_pelagio_cruz:0 "Pelagio Cruz"
 PHI_jose_v_andrada:0 "Jose V. Andrada"
 PHI_leoncio_s_tan:0 "Leoncio S. Tan"
 PHI_benito_n_ebuen:0 "Benito N. Ebuen"
 PHI_basilio_fernando:0 "Basilio Fernando"
 PHI_basilio_j_valdez:0 "Basilio J. Valdez"
 PHI_santiago_nuval:0 "Santiago Nuval"
 PHI_heraclio_alano:0 "Heraclio Alano"
 PHI_ramon_a_alcaraz:0 "Ramon A. Alcaraz"
 PHI_victor_h_dizon:0 "Victor H. Dizon"
 PHI_edwin_andrews:0 "Edwin Andrews"
 PHI_eustacio_orobia:0 "Eustacio Orobia"
 PHI_vicente_p_lim:0 "Vicente P. Lim"
 PHI_emilio_aguinaldo:0 "Emilio Aguinaldo"
 PHI_juan_sumulong:0 "Juan Sumulong"
 PHI_sergio_osmena:0 "Sergio Osmeña"

#POL
 :0 

#RAJ

#RHI

#ROM

#RUS

#SLO
 SLO_tuka_béla:0 "Tuka Béla"
 SLO_antonín_janoušek:0 "Antonín Janoušek"
 SLO_jaroslav_majer:0 "Jaroslav Majer"
 SLO_jaroslav_kratochvil:0 "Jaroslav Kratochvil"
 SLO_vojtech_daubner:0 "Vojtech Daubner"
 SLO_jozef_hora:0 "Jozef Hora"
 SLO_frano_kral:0 "Frano Kral"
 SLO_jozef_snejdarek:0 "Jozef Snejdarek"
 SLO_fritz_gejza:0 "Fritz Gejza"
 SLO_frantisek_sadek:0 "Frantisek Sadek"
 SLO_stefan_tiso:0 "Stefan Tiso"
 SLO_cyril_kuchta:0 "Cyril Kuchta"
 SLO_jindrich_honzl:0 "Jindrich Honzl"
 SLO_frantisek_straka:0 "Frantisek Straka"
 SLO_karol_sidor:0 "Karol Sidor"
 SLO_emil_lendvay:0 "Emil Lendvay"
 SLO_jozef_turanec:0 "Jozef Turanec"
 SLO_gustav_malar:0 "Gustav Malar"
 SLO_rudolf_viest:0 "Rudolf Viest"
 SLO_janko_jesensky:0 "Janko Jesensky"
 SLO_ferdinand_catlos:0 "Ferdinand Catlos"
 SLO_anton_pulanick:0 "Anton Pulanick"

#SOV

#SWE

#TUR

#UKR
 :0 
 :0 

#USA

#XSM

#YUG
 ALB_king_zog:0 "King Zog"
 ALB_eqrem_belishi:0 "Eqrem Belishi"
 ALB_gjon_burbank:0 "Gjon Burbank"
 ALB_xhemal_aranitasi:0 "Xhemal Aranitasi"
 ALB_halil_nergutti:0 "Halil Nergutti"
 ALB_ismael_ghaxa:0 "Ismael Ghaxa"
 ALB_hajre_fetahu:0 "Hajrë Fetahu"
 ALB_xhelal_mitrovica:0 "Xhelal Mitrovica"
 ALB_selim_moishiou:0 "Selim Moishiou"
 ALB_kol_bibe_mirakaj:0 "Kol Bibë Mirakaj"
 ALB_qemal_komani:0 "Qemal Komani"
 ALB_prenk_pervizi:0 "Prenk Pervizi"
 ALB_alexander_mori:0 "Alexander Mori"
 ALB_aziz_sulejmani:0 "Aziz Sulejmani"
 ALB_kristo_cajupi:0 "Kristo Cajupi"
 ALB_eqrem_libohova:0 "Eqrem Libohova"
 ALB_zuhdi_shabani:0 "Zuhdi Shabani"
 ALB_rexhep_mitrovica:0 "Rexhep Mitrovica"
 ALB_hasan_begolli:0 "Hasan Begolli"
 ALB_fiqri_dine:0 "Fiqri Dine"
 ALB_midhat_frasheri:0 "Midhat Frashëri"
 ALB_jocelyn_percy:0 "Jocelyn Percy"

#_African

#_Asian
 OMA_said_bin_taimur:0 "Said bin Taimur"
 OMA_ahmad_ibn_jafar:0 "Ahmad ibn Ja'far"
 OMA_halil_ibn_halil:0 "Halil ibn Halil"
 OMA_iskandar_ibn_ali:0 "Iskandar ibn Ali"
 OMA_abdul_rahal:0 "Abdul Rahal"
 OMA_fawzi_ibn_timur:0 "Fawzi ibn Timur"
 OMA_geoffrey_claydon:0 "Geoffrey Claydon"
 OMA_hafs_mohammed:0 "Hafs Mohammed"
 OMA_abdallah_ibn_timur:0 "Abdallah ibn Timur"
 OMA_nasser_bazzi:0 "Nasser Bazzi"
 OMA_musa_al_saif:0 "Musa al-Saif"
 OMA_jassim_bin_hani:0 "Jassim bin Hani"
 OMA_zahir_ibn_timur:0 "Zahir ibn Timur"
 OMA_fayur_kassis:0 "Fayur Kassis"
 OMA_ghassan_aly:0 "Ghassan Aly"
 OMA_said_ibn_timur:0 "Said ibn Timur"
 OMA_suleiman_al_ryami:0 "Suleiman al Ryami"
 OMA_khalfan_bin_master:0 "Khalfan bin Master"
 OMA_marhoon_muhaid:0 "Marhoon Muhaid"
 OMA_rashid_al_kharusi:0 "Rashid al-Kharusi"
 YEM_imam_yahya:0 "Imam Yahya"
 YEM_chandler_ibn_khalid:0 "Chandler ibn Khalid"
 YEM_mustafa_ibn_umar:0 "Mustafa ibn Umar"
 YEM_fuad_ibn_yusuf:0 "Fuad ibn Yusuf"
 YEM_ja_far_al_hijazi:0 "Ja'far al-Hijazi"
 YEM_hisham_ibn_salim:0 "Hisham ibn Salim"
 YEM_abd_al_husseini:0 "Abd al Husseini"
 YEM_sa_ud_ibn_umar:0 "Sa'ud ibn Umar"
 YEM_ahmad_bin_yaha:0 "Ahmad bin Yahya"
 YEM_ahmad_al_hamid:0 "Ahmad al Hamid"
 YEM_mansur_al_badr:0 "Mansur al Badr"
 YEM_burkan_salem:0 "Burkan Salem"
 YEM_hisham_ibn_uthman:0 "Hisham ibn Uthman"
 YEM_khalid_ibn_yusuf:0 "Khalid ibn Yusuf"
 YEM_ali_halukeh:0 "Ali Halukeh"
 YEM_jabir_khaldun:0 "Jabir Khaldun"
 YEM_yusuf_ibn_khalid:0 "Yusuf ibn Khalid"
 YEM_fuad_ibn_falil:0 "Fuad ibn Falil"
 YEM_cecil_barrington_hurst:0 "Cecil Barrington Hurst"
 YEM_nae_m_al_abdul:0 "Nae'm al-Abdul"
 AFG_mohammed_zahir_shah:0 "Mohammed Zahir Shah"
 AFG_akram_sattari:0 "Akram Sattari"
 AFG_yaqub_khan:0 "Yaqub Khan"
 AFG_mihrdil_shahnawaz:0 "Mihrdil Shahnawaz"
 AFG_sardar_shah_wali_khan:0 "Sardar Shah Wali Khan"
 AFG_hares_muzafar:0 "Hares Muzafar"
 AFG_asadullah_seraj_khan:0 "Asadullah Seraj Khan"
 AFG_gholam_wali:0 "Gholam Wali"
 AFG_nasirullah_husain:0 "Nasirullah Husain"
 AFG_muhammad_amin_bughra:0 "Muhammad Amin Bughra"
 AFG_azam_ataullah:0 "Azam Ataullah"
 AFG_mohammed_daoud_khan:0 "Mohammed Daoud Khan"
 AFG_renato_bardolucci:0 "Renato Bardolucci"
 AFG_ali_muhammed_khan:0 "Ali Muhammed Khan"
 AFG_mohammed_etemadi_khan:0 "Mohammed Etemadi Khan"
 AFG_aalem_daana:0 "Aalem Daana"
 AFG_wazir_akbar_khan:0 "Wazir Akbar Khan"
 AFG_mahmud_khan:0 "Mahmud Khan"
 AFG_haji_faiz_muhammed_zikeria:0 "Haji Faiz Muhammed Zikeria"
 AFG_mohammad_hashim_khan:0 "Mohammad Hashim Khan"
 AFG_muhammed_nowroz:0 "Muhammed Nowroz"
 SIA_phraya_phahon:0 "Phraya Phahon"
 SIA_nangklao_chichalerm:0 "Nangklao Chichalerm"
 SIA_chao_phonphayuhasena:0 "Chao Phonphayuhasena"
 SIA_nangklao_suriyawongse:0 "Nangklao Suriyawongse"
 SIA_plaek_phibunsongkhram:0 "Plaek Phibunsongkhram"
 SIA_tianliang_huntrakool:0 "Tianliang Huntrakool"
 SIA_phra_silpasakrakorn:0 "Phra Silpasakrakorn"
 SIA_luang_sinthusongkhramchai:0 "Luang Sinthusongkhramchai"
 SIA_thawon_thamrongnawasawat:0 "Thawon Thamrongnawasawat"
 SIA_phraya_preechacholayudha:0 "Phraya Preechacholayudha"
 SIA_pridi_phanomyong:0 "Pridi Phanomyong"
 SIA_sindhu_kamalanavin:0 "Sindhu Kamalanavin"
 SIA_phraya_chitnasongkhla:0 "Phraya Chitnasongkhla"
 SIA_phraya_thayarnpikart:0 "Phraya Thayarnpikart"
 SIA_phra_vechayanrangsarit:0 "Phra Vechayanrangsarit"
 SIA_manphya_khanphialong:0 "Manphya Khanphialong"
 SIA_luang_phibunsongkhram:0 "Luang Phibunsongkhram"
 SIA_phraya_wichcitcholathai:0 "Phraya Wichcitcholathai"
 SIA_sawat_phutianands:0 "Sawat Phutianands"
 SIA_phraya_chalermarkiart:0 "Phraya Chalermarkiart"
 SIA_kuang_abhayavongsa:0 "Kuang Abhayavongsa"
 SIA_thawee_punyaketu:0 "Thawee Punyaketu"
 SIA_phot_bhahalyodin:0 "Phot Bhahalyodin"
 MON_anandyn_amar:0 "Anandyn Amar"
 PER_Scheherazade:0 "Scheherazade"
 PER_reza_shah_pahlavi:0 "Reza Shah Pahlavi"
 PER_soleyman_mirza_eskandari:0 "Soleyman Mirza Eskandari"
 PER_hasan_arfa:0 "Hasan Arfa"
 PER_dalir_pesyan:0 "Dalir Pesyan"
 PER_sohrab_tahmasebi:0 "Sohrab Tahmasebi"
 PER_mir_afkhami:0 "Mir Afkhami"
 PER_ahmad_khan_nakhjavan:0 "Ahmad Khan Nakhjavan"
 PER_reza_mizani:0 "Reza Mizani"
 PER_ali_razmara:0 "Ali Razmara"
 PER_hassan_majid_firooz:0 "Hassan Majid Firooz"
 PER_ahmad_mira_khosravani:0 "Ahmad Mira Khosravani"
 PER_ahmad_khan_nakhjaavan:0 "Ahmad Khan Nakhjaavan"
 PER_mohammed_nakhjavani:0 "Mohammed Nakhjavani"
 PER_abdolreza_afkhami:0 "Abdolreza Afkhami"
 PER_fazlollah_zahedi:0 "Fazlollah Zahedi"
 PER_mohammed_reza_pahlavi:0 "Mohammed Reza Pahlavi"
 PER_ali_akbar_deiva:0 "Ali Akbar Deiva"
 PER_hossein_afkhami:0 "Hossein Afkhami"
 PER_ali_zohayli:0 "Ali Zohayli"
 PER_mahmud_jam:0 "Mahmud Jam"
 PER_ali_khan_mansour:0 "Ali Khan Mansour"
 NEP_juddha_rana:0 "Juddha Rana"
 NEP_bhakti_thapa:0 "Bhakti Thapa"
 NEP_bir_shamsher_singh_thapa:0 "Bir Shamsher Singh Thapa"
 NEP_amar_thapa:0 "Amar Thapa"
 NEP_khusbu_singh:0 "Khusbu Singh"
 NEP_hira_rana:0 "Hira Rana"
 NEP_birsha_gurung:0 "Birsha Gurung"
 NEP_gagan_lama:0 "Gagan Lama"
 NEP_walter_morriano:0 "Walter Morriano"
 NEP_mohan_rana:0 "Mohan Rana"
 NEP_robert_mainwaring:0 "Robert Mainwaring"
 NEP_kiran_rana:0 "Kiran Rana"
 NEP_h_t_s_collins:0 "H.T.S Collins"
 NEP_baber_rana:0 "Baber Rana"
 NEP_gehendra_rana:0 "Gehendra Rana"
 NEP_l_m_potter:0 "L.M. Potter"
 NEP_rudra_rana:0 "Rudra Rana"
 NEP_alaap_lokesh:0 "Alaap Lokesh"
 NEP_william_stevenson_meyer:0 "William Stevenson Meyer"
 NEP_w_r_parker_gill:0 "W.R. Parker-Gill"
 NEP_sidney_r_planter:0 "Sidney R. Planter"
 BHU_jigme_wangchuck:0 "Jigme Wangchuck"
 SAU_abdulaziz_ibn_saud:0 "Abdulaziz Ibn Saud"
 SAU_philip_gordon_lee:0 "Philip Gordon-Lee"
 SAU_youssef_al_bishi:0 "Youssef al-Bishi"
 SAU_hamadan_al_odha:0 "Hamadan al-Odha"
 SAU_sa_ad_shaddad_al_outaibi:0 "Sa'ad Shaddad al Outaibi"
 SAU_karim_nassar:0 "Karim Nassar"
 SAU_hamed_al_sabani:0 "Hamed al-Sabani"
 SAU_saud_al_saud:0 "Saud al Saud"
 SAU_ismail_ali_al_salhi:0 "Ismail Ali al-Salhi"
 AFG_ali_muhammed_khan:0 "Ali Muhammed Khan"
 SAU_faisal_al_saud:0 "Faisal al-Saud"
 SAU_faisal_saud:0 "Faisal Saud"
 AFG_gholam_wali:0 "Gholam Wali"

#_British
 EGY_Nitocris:0 "Nitocris"
 EGY_Sialim_Eltnam_Rey_Atlasia:0 "Sialim Eltnam Rey-Atlasia"
 EGY_Sion_Eltnam_Atlasia:0 "Sion Eltnam Atlasia"
 EGY_Rani_VIII:0 "Rani VIII"
 MAL_onn_jaafar:0 "Onn Jaafar"
 MAL_shenton_thomas:0 "Shenton Thomas"
 MAL_ibrahim_hj_yaacob:0 "Ibrahim Hj Yaacob"
 MAL_alexander_ragland:0 "Alexander Ragland"

#_Germans
 QDA_wilhelm_ii:0 "Friedrich Wilhelm Viktor Albert von Hohenzollern"
 QDA_wilhelm_iii:0 "Friedrich Wilhelm Victor August Ernst"

#_Japans

#_SouthAmerica
 PRU_Óscar_benavides:0 "Óscar Benavides"
 PRU_sebastián_lynch:0 "Sebastián Lynch"
 PRU_hilarión_lynch:0 "Hilarión Lynch"
 PRU_santiago_ruíztagle:0 "Santiago Ruíz-Tagle"
 PRU_manuel_prado_ugarteche:0 "Manuel Prado Ugarteche"
 PRU_rafael_escardo:0 "Rafael Escardo"
 PRU_alberto_lopez_flores:0 "Alberto Lopez Flores"
 PRU_oscar_gilardi:0 "Oscar Gilardi"
 PRU_felipe_tudela:0 "Felipe Tudela"
 PRU_eduardo_cantabria_gomez:0 "Eduardo Cantabria Gomez"
 PRU_ernesto_scroth:0 "Ernesto Scroth"
 PRU_luis_ramirez_ortiz:0 "Luis Ramírez Ortiz"
 PRU_oscar_benavides_larrea:0 "Oscar Benavides Larrea"
 PRU_manuel_odria_amoretti:0 "Manuel Odria Amoretti"
 PRU_luis_navarrete:0 "Luis Navarreté"
 PRU_paul_de_beaudiez:0 "Paul de Beaudiez"
 PRU_alberto_roque_saldias:0 "Alberto Roque Saldías"
 PRU_vladimiro_lopez_trigoso:0 "Vladimiro Lopéz Trigoso"
 PRU_eloy_g_ureta:0 "Eloy G. Ureta"
 PRU_fernando_m_quesada_blanco:0 "Fernando M. Quesada Blanco"
 PRU_eduardo_montero_rojas:0 "Eduardo Montero Rojas"
 PRU_romulo_frias:0 "Romulo Frias"
 PRU_oscar_miro_quesada:0 "Oscar Miro Quesada"
 PRU_jose_bustamante_y_rivero:0 "José Bustamante y Rivero"
 PRU_armando_reveredo_iglesias:0 "Armando Reveredo Iglesias"
 PRU_reynaldo_vinatea:0 "Reynaldo Vinatea"
 PAN_harmodio_arias_madrid:0 "Harmodio Arias Madrid"
 PAN_bartolomé_sinibaldi:0 "Bartolomé Sinibaldi"
 PAN_tiburcio_andino:0 "Tiburcio Andino"
 PAN_aniceto_andino:0 "Aniceto Andino"
